Mask2Former Resnet Weights
Weight name                                                       Shape
res4.3.conv3.norm.running_var                                     (1024,)
res4.3.conv3.norm.weight                                          (1024,)
res4.3.conv3.norm.bias                                            (1024,)


res4.4.conv1.weight                                               (256, 1024, 1, 1)
res4.4.conv1.norm.running_mean                                    (256,)
res4.4.conv1.norm.running_var                                     (256,)
res4.4.conv1.norm.weight                                          (256,)
res4.4.conv1.norm.bias                                            (256,)
res4.4.conv2.weight                                               (256, 256, 3, 3)
res4.4.conv2.norm.running_mean                                    (256,)
res4.4.conv2.norm.running_var                                     (256,)
res4.4.conv2.norm.weight                                          (256,)
res4.4.conv2.norm.bias                                            (256,)
res4.4.conv3.weight                                               (1024, 256, 1, 1)
res4.4.conv3.norm.running_mean                                    (1024,)
res4.4.conv3.norm.running_var                                     (1024,)
res4.4.conv3.norm.weight                                          (1024,)
res4.4.conv3.norm.bias                                            (1024,)


res4.5.conv1.weight                                               (256, 1024, 1, 1)
res4.5.conv1.norm.running_mean                                    (256,)
res4.5.conv1.norm.running_var                                     (256,)
res4.5.conv1.norm.weight                                          (256,)
res4.5.conv1.norm.bias                                            (256,)
res4.5.conv2.weight                                               (256, 256, 3, 3)
res4.5.conv2.norm.running_mean                                    (256,)
res4.5.conv2.norm.running_var                                     (256,)
res4.5.conv2.norm.weight                                          (256,)
res4.5.conv2.norm.bias                                            (256,)
res4.5.conv3.weight                                               (1024, 256, 1, 1)
res4.5.conv3.norm.running_mean                                    (1024,)
res4.5.conv3.norm.running_var                                     (1024,)
res4.5.conv3.norm.weight                                          (1024,)
res4.5.conv3.norm.bias                                            (1024,)



res5.0.conv1.weight                                               (512, 1024, 1, 1)
res5.0.conv1.norm.running_mean                                    (512,)
res5.0.conv1.norm.running_var                                     (512,)
res5.0.conv1.norm.weight                                          (512,)
res5.0.conv1.norm.bias                                            (512,)
res5.0.conv2.weight                                               (512, 512, 3, 3)
res5.0.conv2.norm.running_mean                                    (512,)
res5.0.conv2.norm.running_var                                     (512,)
res5.0.conv2.norm.weight                                          (512,)
res5.0.conv2.norm.bias                                            (512,)
res5.0.conv3.weight                                               (2048, 512, 1, 1)
res5.0.conv3.norm.running_mean                                    (2048,)
res5.0.conv3.norm.running_var                                     (2048,)
res5.0.conv3.norm.weight                                          (2048,)
res5.0.conv3.norm.bias                                            (2048,)
res5.0.shortcut.weight                                            (2048, 1024, 1, 1)
res5.0.shortcut.norm.running_mean                                 (2048,)
res5.0.shortcut.norm.running_var                                  (2048,)
res5.0.shortcut.norm.weight                                       (2048,)
res5.0.shortcut.norm.bias                                         (2048,)

res5.1.conv1.weight                                               (512, 2048, 1, 1)
res5.1.conv1.norm.running_mean                                    (512,)
res5.1.conv1.norm.running_var                                     (512,)
res5.1.conv1.norm.weight                                          (512,)
res5.1.conv1.norm.bias                                            (512,)
res5.1.conv2.weight                                               (512, 512, 3, 3)
res5.1.conv2.norm.running_mean                                    (512,)
res5.1.conv2.norm.running_var                                     (512,)
res5.1.conv2.norm.weight                                          (512,)
res5.1.conv2.norm.bias                                            (512,)
res5.1.conv3.weight                                               (2048, 512, 1, 1)
res5.1.conv3.norm.running_mean                                    (2048,)
res5.1.conv3.norm.running_var                                     (2048,)
res5.1.conv3.norm.weight                                          (2048,)
res5.1.conv3.norm.bias                                            (2048,)

res5.2.conv1.weight                                               (512, 2048, 1, 1)
res5.2.conv1.norm.running_mean                                    (512,)
res5.2.conv1.norm.running_var                                     (512,)
res5.2.conv1.norm.weight                                          (512,)
res5.2.conv1.norm.bias                                            (512,)
res5.2.conv2.weight                                               (512, 512, 3, 3)
res5.2.conv2.norm.running_mean                                    (512,)
res5.2.conv2.norm.running_var                                     (512,)
res5.2.conv2.norm.weight                                          (512,)
res5.2.conv2.norm.bias                                            (512,)
res5.2.conv3.weight                                               (2048, 512, 1, 1)
res5.2.conv3.norm.running_mean                                    (2048,)
res5.2.conv3.norm.running_var                                     (2048,)
res5.2.conv3.norm.weight                                          (2048,)
res5.2.conv3.norm.bias                                            (2048,)


stem.fc.weight                                                    (1000, 2048)
stem.fc.bias                                                      (1000,)
